timestamp,provider,host,min_latency,avg_latency,max_latency,packet_loss
2024-12-08 21:29:15,DigitalOcean-TOR,159.89.119.125,mdev = 173,177,178,0
2024-12-08 21:29:25,Hostinger-BR,177.71.10.118,mdev = 143,145,148,0
2024-12-08 21:29:34,Hostinger-US,156.67.72.1,mdev = 165,167,168,0
2024-12-08 21:34:43,DigitalOcean-NYC,147.182.172.189,mdev = 146,148,153,0
2024-12-08 21:34:52,DigitalOcean-SFO,137.184.230.42,mdev = 190,191,195,0
2024-12-08 21:35:01,DigitalOcean-TOR,159.89.119.125,mdev = 176,177,178,0
2024-12-08 21:35:11,Hostinger-BR,177.71.10.118,mdev = 142,145,146,0
2024-12-08 21:35:20,Hostinger-US,156.67.72.1,mdev = 162,166,168,0
2024-12-08 21:40:29,DigitalOcean-NYC,147.182.172.189,mdev = 145,147,149,0
2024-12-08 21:40:38,DigitalOcean-SFO,137.184.230.42,mdev = 189,191,201,0
2024-12-08 21:40:47,DigitalOcean-TOR,159.89.119.125,mdev = 175,177,181,0
2024-12-08 21:40:57,Hostinger-BR,177.71.10.118,mdev = 140,144,147,0
2024-12-08 21:41:06,Hostinger-US,156.67.72.1,mdev = 165,167,173,0
2024-12-08 21:46:15,DigitalOcean-NYC,147.182.172.189,mdev = 141,146,148,0
2024-12-08 21:46:24,DigitalOcean-SFO,137.184.230.42,mdev = 184,190,196,0
2024-12-08 21:46:33,DigitalOcean-TOR,159.89.119.125,mdev = 174,177,179,0
2024-12-08 21:46:42,Hostinger-BR,177.71.10.118,mdev = 140,144,151,0
2024-12-08 21:46:52,Hostinger-US,156.67.72.1,mdev = 160,166,175,0
2024-12-08 21:52:01,DigitalOcean-NYC,147.182.172.189,mdev = 145,147,148,0
2024-12-08 21:52:10,DigitalOcean-SFO,137.184.230.42,mdev = 188,190,192,0
2024-12-08 21:52:19,DigitalOcean-TOR,159.89.119.125,mdev = 175,177,178,0
2024-12-08 21:52:28,Hostinger-BR,177.71.10.118,mdev = 144,145,146,0
2024-12-08 21:52:38,Hostinger-US,156.67.72.1,mdev = 165,166,168,0
2024-12-08 21:57:45,DigitalOcean-NYC,147.182.172.189,mdev = 145,147,155,0
2024-12-08 21:57:54,DigitalOcean-SFO,137.184.230.42,mdev = 184,190,194,0
2024-12-08 21:58:04,DigitalOcean-TOR,159.89.119.125,mdev = 170,177,201,0
2024-12-08 21:58:13,Hostinger-BR,177.71.10.118,mdev = 143,145,148,0
2024-12-08 21:58:22,Hostinger-US,156.67.72.1,mdev = 165,166,168,0
